,Investigator,Number of Studies,Top Condition,Top Condition Count
5305,hope o'brien,2,migraine,2.0
5306,marina liberati,2,mbl-cll - monoclonal b-cell lymphocytosis chronic lymphocytic leukaemia-type,1.0
5307,byoung yong shim,2,her2 positive breast cancer,1.0
5308,jan kassubek,2,multiple system atrophy,1.0
5309,anthony gunstone,2,obesity,1.0
5310,radoslaw kempinski,2,ulcerative colitis,2.0
5311,carl wallach,2,ulcerative colitis,2.0
5312,antonio nuzzo,2,metastatic breast cancer,1.0
5313,fabio marazzi,2,metastatic breast cancer,1.0
5314,alfonso galderisi,2,"infant, very low birth weight",1.0
5315,plamen petkov,2,parkinson's disease,1.0
5316,mathias hänel,2,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
5317,robert gordon,2,ulcerative colitis,1.0
5318,fabio u ciceri,2,high-risk mds,1.0
5319,gabriella t capolupo,2,colorectal neoplasms malignant,1.0
5320,jonathan w riess,2,deleterious brca1 gene mutation,1.0
5321,jacopo andrea oreglia,2,diabetes mellitus,1.0
5322,brandon croft,2,head and neck squamous cell carcinoma,1.0
5323,guido torzilli,2,recurrent hepatocellular carcinoma,1.0
5324,hongwei xue,2,chronic lymphocytic leukemia,1.0
5325,antonio llombart-cussac,2,early breast cancer,1.0
5326,jacco de haan,2,esophageal adenocarcinoma,1.0
5327,hong cen,2,small lymphocytic lymphoma,2.0
5328,jörg kempfert,2,aortic stenosis with bicuspid valve,1.0
5329,victor manuel oyervides juarez,2,gastric neoplasms,1.0
5330,michael untch,2,breast neoplasms,1.0
5331,diego signorelli,2,squamous cell lung cancer,1.0
5332,chiara ghiglieno,2,"conduction block, atrioventricular",1.0
5333,danilo glauco pereira villagelin neto,2,obesity,2.0
5334,seok-min kang,2,obesity,1.0
5335,jane ding,2,huntington's disease,2.0
5336,salma k. jabbour,2,stage iiib lung cancer ajcc v8,1.0
5337,mariagrazia michieli,2,multiple myeloma,1.0
5338,erica a. linden,2,estrogen receptor negative,1.0
5339,francesco spagnolo,2,melanoma,1.0
5340,alicia ramirez,2,respiratory tract disease,1.0
5341,mai-kim gervais,2,"cutaneous melanoma, stage ii",1.0
5342,marc thill,2,triple negative breast cancer,1.0
5343,ana lópez,2,early breast cancer,1.0
5344,salman muddassir,2,ulcerative colitis,2.0
5345,fangyu wang,2,ulcerative colitis,2.0
5346,yanbo zhen,2,ulcerative colitis,2.0
5347,laimas jonaitis,2,ulcerative colitis,2.0
5348,joseph soufer,2,overweight,2.0
5349,cesar gonzalo calvo,2,obesity,2.0
5350,roberto imberti,2,vegetative state,1.0
5351,atto billio,2,sars-cov-2 infection,1.0
5352,riccardo saccardi,2,hematologic malignancies,1.0
5353,corrado girmenia,2,hematologic diseases,1.0
5354,francesco ferrara,2,chronic heart failure,1.0
5355,francesco carrozza,2,metastatic breast cancer,1.0
5356,nicola smania,2,"low back pain, mechanical",1.0
5357,william bernal,2,acute-on-chronic liver failure,2.0
5358,steven phillips,2,dravet syndrome (ds),2.0
5359,christopher shepela,2,ulcerative colitis,2.0
5360,sakiko hiraoka,2,ulcerative colitis,2.0
5361,thomas gasser,2,parkinson disease,1.0
5362,william raffaeli,2,total hip arthroplasty for osteoarthritis or aseptic necrosis of the femoral head,1.0
5363,jan p. van meerbeeck,2,malignant mesothelioma,1.0
5364,mario lazzarino,2,acute promyelocytic leukemia,1.0
5365,jay barth,2,hemophilia a,1.0
5366,ferdinando squitieri,2,huntington's disease,2.0
5367,raffaella mariani,2,congenital atransferrinemia,1.0
5368,malakh shrestha,2,"aortic aneurysm, thoracoabdominal",1.0
5369,michael r galambos,2,ulcerative colitis,2.0
5370,andre blais,2,stage iiic lung cancer ajcc v8,1.0
5371,luca aldrighetti,2,liver cancer,1.0
5372,paolo muto,2,metastatic disease,1.0
5373,pedro sanchez rovira,2,breast neoplasms,1.0
5374,laura sanchis artero,2,crohn's disease (cd),1.0
5375,gioacchino catania,2,"leukemia, b-cell",1.0
5376,frederick ruthardt,2,ulcerative colitis,2.0
5377,shravan porika,2,ulcerative colitis,2.0
5378,marco antonio alcocer gamba,2,overweight,2.0
5379,alberto aliaga verdugo,2,overweight or obesity,2.0
5380,otto mehls,2,chronic renal failure,1.0
5381,dorota drozdz,2,peritoneal dialysis complication,1.0
5382,luciana annino,2,leukemia,1.0
5383,robert a. kloss,2,alk positive,1.0
5384,jeanette greiner,2,"acute lymphoblastic leukemia, pediatric",1.0
5385,ying xiang,2,chronic lymphocytic leukemia,1.0
5386,ioannis kotsianidis,2,anemia,1.0
5387,jarrod holmes,2,metastatic breast cancer,1.0
5388,muhammad sabbah,2,type 2 diabetes,1.0
5389,lígia yukie sassaki,2,ulcerative colitis,2.0
5390,manuel barreiro de acosta,2,ulcerative colitis,2.0
5391,juliana ferreira oliva,2,obesity,2.0
5392,symeon tournis,2,"osteoporosis, postmenopausal",2.0
5393,paul mitrut,2,ulcerative colitis,2.0
5394,sergio crispino,2,non small cell lung cancer (nsclc),1.0
5395,alessandro capucci,2,sick sinus syndrome,1.0
5396,christine leypold,2,parkinson's disease,1.0
5397,yves bertrand,2,acute lymphoblastic leukaemia,1.0
5398,alain pradignac,2,overweight,1.0
5399,kevin l. mortara,2,prostate adenocarcinoma,1.0
5400,linda l. garland,2,stage iia non-small cell lung carcinoma ajcc v7,1.0
5401,guido tavazzi,2,ventricular fibrillation sustained,1.0
5402,francesco rametta,2,heart failure,1.0
5403,christopher stees,2,heart failure,1.0
5404,giorgio quadri,2,acute coronary syndrome,2.0
5405,taito esaki,2,gastro-oesophageal cancer,1.0
5406,dario manfellotto,2,hospitalization,2.0
5407,alexandre dermine,2,pancreatic ductal adenocarcinoma,1.0
5408,carlo di bonaventura,2,epilepsy,1.0
5409,laurence egan,2,ulcerative colitis,2.0
5410,eran israeli,2,ulcerative colitis,2.0
5411,filipa neiva,2,ulcerative colitis,1.0
5412,ishan hirji,2,cytomegalovirus infection in transplanted patients,2.0
5413,michael kuiper,2,acute respiratory failure,1.0
5414,claus garbe,2,metastatic melanoma,1.0
5415,giulio guagliumi,2,acute myocardial infarction,1.0
5416,laura paermentier,2,huntington's disease,2.0
5417,mathieu anheim,2,friedreich's ataxia,1.0
5418,laurent bertoletti,2,vascular diseases,1.0
5419,colin berry,2,acute coronary syndrome,1.0
5420,george kahaly,2,thyroid eye disease,2.0
5421,arschang valipour,2,non small cell lung cancer,1.0
5422,ellen l. ziaja,2,breast cancer,1.0
5423,john swisher,2,pulmonary arterial hypertension,2.0
5424,huang,2,non-small cell lung cancer,1.0
5425,l steven zukerman,2,heart failure,1.0
5426,maurizio cosimelli,2,lymph node cancer metastatic,1.0
5427,csaba bereczki,2,"colitis, ulcerative",1.0
5428,clemens steinwender,2,persistent atrial fibrillation,1.0
5429,erwan donal,2,mitral valve regurgitation,1.0
5430,cristian deana,2,intracranial hypertension,1.0
5431,melissa burgess,2,conventional chondrosarcoma,1.0
5432,ming-huang chen,2,gastric neoplasms,1.0
5433,elisa gallerani,2,breast cancer,1.0
5434,franco arturi,2,obesity,1.0
5435,beata gawdis wojnarska,2,ulcerative colitis,2.0
5436,lauren george,2,ulcerative colitis,2.0
5437,toshio kuwai,2,ulcerative colitis,2.0
5438,miquel sans cuffi,2,ulcerative colitis,2.0
5439,akif yesilipek,2,acute lymphoblastic leukaemia,1.0
5440,lars fischer,2,acute lymphoblastic leukaemia,1.0
5441,sinead murphy,2,friedreich ataxia,1.0
5442,julie lemale,2,ulcerative colitis,1.0
5443,andrew haydon,2,melanoma,2.0
5444,laszlo mate,2,episodic migraine,1.0
5445,alejandro olmos lópez,2,migraine,2.0
5446,alicia ramirez rivera,2,pulmonary arterial hypertension,2.0
5447,gary reiss,2,ulcerative colitis,2.0
5448,nobuaki nishimata,2,ulcerative colitis,2.0
5449,paul kuzel,2,chronic cutaneous lupus erythematosus,1.0
5450,cecilia becattini,2,pulmonary embolism,2.0
5451,david jayne,2,microscopic polyangiitis,1.0
5452,claudio pacchetti,2,multiple system atrophy,1.0
5453,tobias feuchtinger,2,"acute lymphoblastic leukemia, pediatric",1.0
5454,ettore de berardinis,2,chronic bacterial prostatitis,1.0
5455,alison d. savage,2,estrogen receptor negative,1.0
5456,vincenza lombardo,2,celiac disease,2.0
5457,john h strickler,2,metastatic colorectal adenocarcinoma,1.0
5458,davide campana,2,gastro-entero pancreatic neuroendocrine tumors,1.0
5459,uberto pagotto,2,overweight,1.0
5460,kentaro kuwabara,2,migraine,2.0
5461,abhishek deshmukh,2,ventricular tachycardia,1.0
5462,michael maasberg,2,breast neoplasms,1.0
5463,arthur y. hung,2,stage i breast cancer,1.0
5464,giuliano rizzardini,2,hiv-1-infection,1.0
5465,samuel le sourd,2,gastroesophageal adenocarcinoma,1.0
5466,delforge,2,multiple myeloma,2.0
5467,zbigniew sliwowski,2,ulcerative colitis,2.0
5468,branka filipovic,2,ulcerative colitis,2.0
5469,gary schiller,2,leukemia,1.0
5470,maria barbagallo,2,"coagulation, blood",1.0
5471,marco merlano,2,advanced non-small cell lung cancer,1.0
5472,carlo terrone,2,urinary incontinence,1.0
5473,giovanni quarta,2,diffuse large b-cell lymphoma,1.0
5474,mario delia,2,candidiasis,1.0
5475,barbara snider,2,dementia,2.0
5476,alaide chieffo,2,cardiac ischemia,1.0
5477,angela amendola,2,immune thrombocytopenia,1.0
5478,claudio moretti,2,culprit plaque,1.0
5479,jun sakakibara,2,colon cancer,2.0
5480,anna wiechowska-kozlowska,2,ulcerative colitis,2.0
5481,felice pirozzi,2,anastomotic leak,2.0
5482,marco romanelli,2,wound healing disorder,1.0
5483,rong fu,2,myeloproliferative disorders,1.0
5484,sumit lumba,2,pancreatic cancer stage iv,1.0
5485,paul milner,2,ulcerative colitis,2.0
5486,oliver bachmann,2,ulcerative colitis,2.0
5487,takeshi ishikawa,2,ulcerative colitis,2.0
5488,leonidas lanaras,2,overweight,2.0
5489,aldo di carlo,2,healthy subjects,1.0
5490,stefano gandolfi,2,ocular hypertension,1.0
5491,harish g. ahuja,2,previously treated non-small cell lung cancer,1.0
5492,romain cohen,2,gastroesophageal adenocarcinoma,1.0
5493,belen rubio viqueira,2,neoplasm metastasis,1.0
5494,jared weiss,2,non-small cell lung cancer,2.0
5495,fernando varbella,2,coronary artery disease,1.0
5496,michelle hudspeth,2,stem cell transplant complications,2.0
5497,martina bonifazi,2,lung cancer,1.0
5498,william h holderman,2,ulcerative colitis,2.0
5499,minh phan,2,previously treated non-small cell lung cancer,1.0
5500,cinzia brunelli,2,neoplasms,1.0
5501,christen kutz,2,migraine,2.0
5502,nicolò de manzini,2,colon cancer stage i,1.0
5503,luminita ocroteala,2,secondary immunodeficiency (sid),1.0
5504,shun lu,2,"carcinoma, non-small-cell lung",1.0
5505,enrique gonzalez billalabeitia,2,"antineoplastic agents, hormonal",1.0
5506,george awad,2,aortic valve disease,1.0
5507,eriko tokunaga,2,her2 positive breast cancer,1.0
5508,marco corda,2,arrhythmic storm,1.0
5509,scott demarest,2,cyclin-dependent kinase-like 5 deficiency disorder,1.0
5510,emmanuel de la mora jimenez,2,neoplasm metastasis,2.0
5511,alfred mcnair,2,ulcerative colitis,2.0
5512,nicolas mathieu,2,ulcerative colitis,2.0
5513,nobuo aoyama,2,ulcerative colitis,2.0
5514,oren koslowe,2,crohn's disease,1.0
5515,peter mattar,2,overweight,2.0
5516,alejandra isabel oviedo,2,obesity,2.0
5517,sisto perdona,2,kidney cancer,1.0
5518,eric baudin,2,adrenocortical carcinoma,2.0
5519,mario dauri,2,postoperative pain,1.0
5520,maurizia brunetto,2,hepatitis c,1.0
5521,carlos a. alemany,2,stage iiia non-small cell lung cancer ajcc v7,1.0
5522,matthias weiss,2,stage iib lung cancer ajcc v8,1.0
5523,paul b. gilman,2,stage iv lung cancer ajcc v8,2.0
5524,anna lavizzari,2,neonatal respiratory distress syndrome,1.0
5525,vera zdravkovic,2,growth hormone deficiency,1.0
5526,toby eyre,2,small lymphocytic lymphoma,1.0
5527,tobias geisler,2,mitral regurgitation,1.0
5528,paolo vercellini,2,endometriosis,2.0
5529,alon haim,2,type2 diabetes,1.0
5530,ankur arvind doshi,2,type 2 diabetes,2.0
5531,lyubomir kosturkov,2,ulcerative colitis,2.0
5532,chief medical officer,2,"diabetes mellitus, type 2",1.0
5533,m. c. piccirillo,2,metastatic colorectal cancer,2.0
5534,zoubida tazi mezalek,2,behcet syndrome,1.0
5535,olaf penack,2,invasive aspergillosis,1.0
5536,eduardo olavarria,2,lymphoproliferative disorders,1.0
5537,helene rovsing,2,episodic migraine,1.0
5538,thierry andre,2,metastatic colorectal cancer,1.0
5539,dale shepard,2,soft tissue sarcoma,1.0
5540,christine langer,2,squamous cell carcinoma of the oropharynx,1.0
5541,jeffrey london,2,nash - nonalcoholic steatohepatitis,1.0
5542,shilpi mittal,2,overweight or obesity,1.0
5543,cecil hahn,2,dravet syndrome (ds),2.0
5544,david busquets casals,2,ulcerative colitis,2.0
5545,riyaz shah,2,non small cell lung cancer,1.0
5546,maria t landi,2,melanoma,1.0
5547,robert laforce,2,"alzheimers disease, familial",2.0
5548,christina peters,2,acute lymphoblastic leukaemia,1.0
5549,gilles naeije,2,friedreich ataxia,1.0
5550,gili kenet,2,factor viii deficiency,1.0
5551,michael weller,2,glioblastoma,1.0
5552,andrew  fagbemi,2,"colitis, ulcerative",1.0
5553,alfredo hernandez,2,ulcerative colitis,2.0
5554,nele deprez,2,ulcerative colitis,2.0
5555,stefano meletti,2,refractory status epilepticus,1.0
5556,matteo luciani,2,von willebrand disease,1.0
5557,jaime kulisevsky,2,parkinson disease,1.0
5558,giovanna rege,2,pregnancy,1.0
5559,jared brosch,2,dementia,2.0
5560,georgios koutsis,2,friedreich ataxia,1.0
5561,rubina qamar,2,stage iiia breast cancer,1.0
5562,gianfranco piccirillo,2,aortic stenosis senile,2.0
5563,christian schlensak,2,"aortic aneurysm, thoracoabdominal",1.0
5564,kyunghee burkitt,2,triple negative breast neoplasms,1.0
5565,annamaria ferrero,2,ovarian cancer,2.0
5566,andrea ferrario,2,chronic lymphocytic leukemia,1.0
5567,imran ali,2,dravet syndrome (ds),2.0
5568,jing peng,2,dravet syndrome (ds),2.0
5569,letizia corinna morlacchi,2,complications,5.0
5570,michael hubalek,2,breast neoplasms,1.0
5571,judith raimbourg,2,colorectal neoplasms,1.0
5572,ingel demedts,2,stage iii nsclc,1.0
5573,kathryn jean lucas,2,type 2 diabetes,2.0
5574,rami komrokji,2,myelodysplastic syndromes,2.0
5575,alessio nencioni,2,cancer,1.0
5576,alin-horea suta,2,ulcerative colitis,2.0
5577,frank steven eder,2,overweight,2.0
5578,magdalena morosanu,2,overweight,2.0
5579,rifat emral,2,overweight,2.0
5580,noela gori,2,head and neck squamous cell carcinoma,1.0
5581,martin delatycki,2,friedreich's ataxia,1.0
5582,stefania trinca,2,chronic lymphocytic leukemia,1.0
5583,michele carron,2,inadequate or impaired breathing pattern or ventilation,1.0
5584,paolo della bella,2,ventricular tachycardias,2.0
5585,andrea di lenarda,2,"heart failure, reduced ejection fraction",1.0
5586,mario santinami,2,"malignant melanoma, skin",1.0
5587,ioana bonta,2,stage iiib lung cancer ajcc v8,2.0
5588,nathaniel r. evans,2,stage iiia lung cancer ajcc v8,1.0
5589,david s. hanson,2,triple-negative breast carcinoma,1.0
5590,andrzej bogucki,2,parkinson's disease,2.0
5591,jean-jacques grob,2,scc - squamous cell carcinoma,1.0
5592,lesley a. jarvis,2,breast cancer,1.0
5593,benjamin kasenda,2,primary central nervous system lymphoma,2.0
5594,rené-olivier casasnovas,2,refractory diffuse large b-cell lymphoma,1.0
5595,andras masszi,2,small lymphocytic lymphoma,1.0
5596,ewa janczewska,2,alpha1-antitrypsin deficiency,1.0
5597,matteo lisi,2,mitral valve disease,1.0
5598,tai-jan chiu,2,fgfr2 fusions,1.0
5599,paolo vivaldi,2,myeloproliferative disorders,1.0
5600,carlo catassi,2,inflammatory bowel diseases,1.0
5601,david hargroves,2,carotid stenosis,1.0
5602,francesco muntoni,2,"charcot-marie-tooth disease, type ia (disorder)",1.0
5603,richard roxburgh,2,friedreich ataxia,1.0
5604,mauro turrini,2,chronic lymphocytic leukemia,1.0
5605,charles m. farber,2,lung non-squamous non-small cell carcinoma,1.0
5606,kyoung eun lee,2,metastatic breast cancer,1.0
5607,christoph hoeller,2,cancer,1.0
5608,maciej kazmierczak,2,relapsed/refractory follicular lymphoma,1.0
5609,dwayne campbell,2,ventricular tachycardia,1.0
5610,martine reynaud-gaubert,2,idiopathic pulmonary fibrosis,1.0
5611,gary eastwick,2,prostate adenocarcinoma,1.0
5612,eugen mengel,2,fabry disease,1.0
5613,michelangelo mancuso,2,tia,1.0
5614,hasan yilmaz,2,ulcerative colitis,2.0
5615,kevin d roberts,2,overweight,2.0
5616,esteban jodar gimeno,2,overweight,2.0
5617,pavel drastich,2,ulcerative colitis,2.0
5618,raffaele nuzzi,1,cataracts,1.0
5619,j. louis stephan,1,neuroblastoma,1.0
5620,edward g. shaw,1,metastatic cancer,1.0
5621,r.c. painter,1,cancer,1.0
5622,s. moiseev,1,lymphoma,1.0
5623,franca bridelli,1,"pain, postoperative",1.0
5624,andreas neubauer,1,peripheral t-cell lymphoma,1.0
5625,tusini,1,carotid stenosis,1.0
5626,gerry stansby,1,carotid stenosis,1.0
5627,augustina jankauskiene,1,chronic kidney disease,1.0
5628,angela mazzocchi,1,"gastrostomy, methods",1.0
5629,victoria holiday,1,huntington's disease,1.0
5630,giulio illuminati,1,peripheral arterial disease,1.0
5631,saad usmani,1,ds stage i plasma cell myeloma,1.0
5632,letizia deantonio,1,unresectable sinonasal tumors,1.0
5633,heather a. wakelee,1,alk positive,1.0
5634,giuseppe cali,1,placenta accreta,1.0
5635,cristina i. truica,1,stage ib breast cancer,1.0
5636,giuseppe nigri,1,surgery,1.0
5637,maría angélica rivera,1,venous thromboembolism,1.0
5638,rebecca solmito,1,huntington's disease,1.0
5639,danny stoltenberg,1,mantle cell lymphoma,1.0
5640,kazumi nishino,1,pancreatic cancer harboring nrg1 fusion,1.0
5641,kuo-hsuan hsu,1,medullary thyroid cancer,1.0
5642,emmanuel raffoux,1,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
5643,javier martín broto,1,soft tissue sarcoma,1.0
5644,marcello lanari,1,bronchiolitis acute,1.0
5645,jurg schwitter,1,heart failure,1.0
5646,wen qiang,1,cervical cancer,1.0
5647,joel w neal,1,metastatic lung non-squamous non-small cell carcinoma,1.0
5648,dylan narinesingh,1,breast cancer,1.0
5649,hélène bouvaist,1,hypertension,1.0
5650,wolfgang eberl,1,"acute lymphoblastic leukemia, pediatric",1.0
5651,piccotti emily,1,hospitalization,1.0
5652,jehee i. choi,1,postneoadjuvant therapy stage iva esophageal squamous cell carcinoma ajcc v8,1.0
5653,andrea dotta,1,asphyxia perinatal,1.0
5654,michael k. gibson,1,pathologic stage iii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
5655,ahmet tutuncu,1,persistent cough in ipf,1.0
5656,pasquale sansone,1,postoperative respiratory complication,1.0
5657,sabine sell,1,cancer,1.0
5658,alfredo bardají,1,bradycardia,1.0
5659,mark goodwin,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
5660,stefan timmer,1,atrial fibrillation,1.0
5661,saeed ullah shah,1,stroke,1.0
5662,pujol,1,non-small cell lung cancer,1.0
5663,young saing kim,1,soft tissue sarcoma,1.0
5664,cosimo durante,1,thyroid neoplasms,1.0
5665,italo calamai,1,systemic inflammatory response syndrome,1.0
5666,tania curcio,1,mixed phenotype acute leukemia,1.0
5667,marta grubiak,1,"lymphoma, t-cell",1.0
5668,dheerendra prasad,1,extensive stage lung small cell carcinoma,1.0
5669,jonathan d. mizrahi,1,stage i anal cancer ajcc v8,1.0
5670,christopher reynolds,1,relapsed/refractory follicular lymphoma,1.0
5671,jose fernando teixera,1,thoracic aortic aneurysm,1.0
5672,harris fiona,1,primary glioblastoma,1.0
5673,laura mastrangelo,1,gastro-entero pancreatic neuroendocrine tumors,1.0
5674,clemens von birgelen,1,invasive procedure,1.0
5675,italo gatelli,1,respiratory distress syndrome in premature infant,1.0
5676,alexander kersten,1,extracorporeal membrane oxygenation,1.0
5677,alberto marín sánchez,1,myeloproliferative neoplasm,1.0
5678,anna sureda,1,relapsed/refractory diffuse large b-cell lymphoma,1.0
5679,dean karvellas,1,acute-on-chronic liver failure,1.0
5680,eyuel baherey,1,sickle cell disease,1.0
5681,abraham jacob,1,"lymphoma, mantle-cell",1.0
5682,leonardo vincenti,1,colorectal neoplasms malignant,1.0
