,AHC,Sponsors/Collaborators,Number of Collaborations
3990,Federico II,"Mauer, Bad Kreuznach, DE /ID# 224876",1
3991,Federico II,Catalyst Biosciences (United States),1
3992,Federico II,PEDIAMED s.r.o.,1
3993,Federico II,ASST-Monza,1
3994,Federico II,Velocity Clin Res Albuquerque,1
3995,Federico II,Scott & White Memorial Hospital,1
3996,Federico II,Praxis Dr. Thomas Harms,1
3997,Federico II,Advanced Medical Research Center /ID# 116235,1
3998,Federico II,Ospedale S Giuseppe /ID# 141395,1
3999,Federico II,Hospital Universitari I Politècnis La Fe Bulevar Sur,1
4000,Federico II,Ospedale Koelliker,1
4001,Federico II,Nemours Children's Health System,1
4002,Federico II,Parra Dermatología,1
4003,Federico II,"8400742 - VMG Cardiology, Westwood",1
4004,Federico II,Doctors Hospital at Renaissance,1
4005,Federico II,Dr Jenny Potts /ID# 168691,1
4006,Federico II,"MUDr. Radka Koskova, s.r.o., Gastroenterologicka ambulance",1
4007,Federico II,State Budgetary Institution of Healthcare of Yaroslavl region 'Clinical Hospital # 2',1
4008,Federico II,Haut. Venen. Allergie. Zentrum Brunnehof /ID# 212742,1
4009,Federico II,Municipal Non-profit Enterprise 'City Clinical Hospital # 4' of Dnipro City Council - PPDS,1
4010,Federico II,Gordon Sussman Clinical Research Inc.,1
4011,Federico II,Szpital Uniwersytecki nr 2 im. dr Jana Biziela w Bydgoszczy,1
4012,Federico II,Asklepion LLC,1
4013,Federico II,Complete Heart Care,1
4014,Federico II,UC Irvine Health,1
4015,Federico II,Immunologisches Zentrum Vogelsang-Gommern GmbH,1
4016,Federico II,ALPHA Recherche Clinique,1
4017,Federico II,"MILAB, s.r.o.",1
4018,Federico II,Unità Operativa di Ematologia e Unità Operativa CTMO,1
4019,Federico II,CI Zapor City Multifunctional CH#9 City Center of Gastroenterology SI Zapor MA of PGE of MOHU,1
4020,Federico II,Azienda Sanitaria Locale 13 - Ospedale 'C. e G. Mazzoni'- Ascoli Piceno,1
4021,Federico II,Osaka Red Cross Hospital,1
4022,Federico II,Hopital d Instruction des Armee,1
4023,Federico II,6430079 - Scientific-Research Institute of Complex Problems of Cardio,1
4024,Federico II,Hirosaki National Hospital,1
4025,Federico II,Klein and Associates MD /ID# 169483,1
4026,Federico II,Southern Therapy and Advanced Research (STAR) LLC,1
4027,Federico II,North York Research Inc /ID# 213486,1
4028,Federico II,Praxis T. Schadeck /ID# 213957,1
4029,Federico II,"Gross/Braeu, Giessen, DE /ID# 213367",1
4030,Federico II,Praxis Dr. Raschke /ID# 225213,1
4031,Federico II,Northampton General Hospital,1
4032,Federico II,Boston Childien's Hospital - Clinical Research Pharmacy,1
4033,Federico II,Azienda Sanitaria di Firenze,1
4034,Federico II,UMHAT Alexandrovska EAD /ID# 231652,1
4035,Federico II,Helsinki East Vaccine Research Clinic,1
4036,Federico II,Oncologia Integral Satelite,1
4037,Federico II,Iqvia Pty Ltd,1
4038,Federico II,Hosp. Punta de Europa,1
4039,Federico II,Victoria Gastroenterology,1
4040,Federico II,Städtische Kliniken Frankfurt a. M.-Höchst,1
4041,Federico II,ASL 4 di Teramo,1
4042,Federico II,Ospedale Civile di Siderno,1
4043,Federico II,Guardian Angels Health Center /ID# 209706,1
4044,Federico II,QE II Health Sciences Centre /ID# 128916,1
4045,Federico II,Memorial Breast Cancer Center,1
4046,Federico II,Hospital Universitario Joao de Barros Barreto,1
4047,Federico II,U.O. di Urologia- Azienda Ospedaliera San Giuseppe Moscati,1
4048,Federico II,Allergo-Derm Bakos Kft,1
4049,Federico II,Care Access Research,1
4050,Federico II,Centre de santé et de services sociaux Champlain-Charles-Le Moyne,1
4051,Federico II,Hospital Militar Central Cirujano Mayor Dr. Cosme Argerich,1
4052,Federico II,Duplicate_Policlinico Univ Tor Vergata /ID# 207271,1
4053,Federico II,Clinical Research Institute of Michigan,1
4054,Federico II,Tongji Hosp Tongji Med Col Huazhong Univ of Sci & Tech,1
4055,Federico II,SPDC Villa Scassi,1
4056,Federico II,Rheumazentrum Ratingen,1
4057,Federico II,H.U.V.Arrixaca,1
4058,Federico II,Velocity Clinical Res-Banning,1
4059,Federico II,Velocity Clin Res - Panorama,1
4060,Federico II,Centro Oncologico Basilicata,1
4061,Federico II,Italian Trial in Medical Oncology,1
4062,Federico II,"Arkansas Gastroenterology, P.A.",1
4063,Federico II,Health Centre Metabolic Diseases Outpatient Clinic in Wierzchoslawice,1
4064,Federico II,Kingshill Research Centre,1
4065,Federico II,CIRI GmbH Centrum für Innovative Diagnostik und Therapie,1
4066,Federico II,Children's Scientific and Clinical Center for Infectious Diseases of the Federal Medical and Biological Agency,1
4067,Federico II,0760085 - Hospital Universitário São José (HUSJ),1
4068,Federico II,0760011 - Hospital Cardiologico Costantini,1
4069,Federico II,6880024 - Opsta Bolnica 'Dorde Joanovic' Zrenjanin,1
4070,Federico II,"Center for Advanced Gastroenterology, PLLC",1
4071,Federico II,AP-HM - Hopital de la Timone /ID# 206128,1
4072,Federico II,Arthritis & Osteoporosis Center /ID# 207236,1
4073,Federico II,Pediatrics Specialists of Virginia,1
4074,Federico II,Tumorzentrum Nordthüringen,1
4075,Federico II,Praxis Dr. Schwarz /ID# 213651,1
4076,Federico II,Allergy Center at Brookstone - Research Department,1
4077,Federico II,DaVita Sp. z o.o. Stacja Dializ,1
4078,Federico II,Hertzen Oncology Research Institute,1
4079,Federico II,Optimed Research,1
4080,Federico II,Gastroenterology and Liver Institute,1
4081,Federico II,"Azienda Ospedaliera Santa Croce E Carle, S.C. di Ematologia",1
4082,Federico II,Steno Diabetes Center,1
4083,Federico II,Bristol Eye Hospital,1
4084,Federico II,Women's and Children's Hospital,1
4085,Federico II,Carl-von-Basedow-Klinikum Merseburg,1
4086,Federico II,2nd IKA-ETAM 'Panagia' General Hospital of Thessaloniki,1
4087,Federico II,"Atay, Los Alamitos, CA /ID# 110175",1
4088,Federico II,Krankenhaus Martha-Maria Halle-Doelau /ID# 122935,1
4089,Federico II,Israelitisches Krankenhaus,1
4090,Federico II,Princeton Baptist Medical Center,1
4091,Federico II,Université de Sherbrooke,1
4092,Federico II,Ospedale Fatebenefratelli 'Sacro Cuore di Gesù' di Benevento,1
4093,Federico II,Nizhny Novgorod Regional Clinical Hospital named after Semashko,1
4094,Federico II,AOP Orphan Pharmaceuticals AG,1
4095,Federico II,Ospedale Busacca - Azienda Provinciale Sanitaria di Ragusa,1
4096,Federico II,Buffalo VA Medical Center,1
4097,Federico II,0320036 - Hospital Italiano,1
4098,Federico II,Santa Casa de Misericórdia de Marília,1
4099,Federico II,1000028 - SHAT Cardiology Varna - EAD,1
4100,Federico II,6430110 - SBHI of Novosibirsk Region 'City Clinical Hospital of Emergency Care #2',1
4101,Federico II,"Gastro I s.r.o., Gastroenterologická ambulancia",1
4102,Federico II,The Liver Center,1
4103,Federico II,First Moscow State Medical University n.a. Sechenov,1
4104,Federico II,University of Mississippi,1
4105,Federico II,Hospital de Manacor /ID# 225083,1
4106,Federico II,"Rozvojova agentura Banskobystrickeho samospravneho kraja, n.o.",1
4107,Federico II,Fund. Puigvert,1
4108,Federico II,Southwest Florida Research,1
4109,Federico II,"Centro Medico Sant'Agostino, Milano",1
4110,Federico II,CHU Montpellier - Hôpital Saint Eloi /ID# 228191,1
4111,Federico II,Clinical Invest Special_Gurnee,1
4112,Federico II,'Medical Center Maraya Med' EOOD,1
4113,Federico II,Mernidade Nossa Senhora De Fatima,1
4114,Federico II,Klinik fur Kinder und Jugendliche,1
4115,Federico II,Azienda Ospedaliera Ospedale San Carlo Borromeo,1
4116,Federico II,Mercy Health Saint Mary's,1
4117,Federico II,Azienda Ospedaliera Civile Maria Paternò Arezzo Ragusa,1
4118,Federico II,University of Missouri Health System,1
4119,Federico II,1910008 - Specijalna Bolnica za Medicinsku Rehabilitaciju Krapinske Toplice,1
4120,Federico II,1910010 - Županijska Bolnica Cakovec,1
4121,Federico II,6880026 - Opšta Bolnica Pančevo,1
4122,Federico II,St Elisabeth Ziekenhuis,1
4123,Federico II,"NZOZ ALL-MEDICUS, Zaklad Gastroenterologii",1
4124,Federico II,LLC Medical Center /ID# 169516,1
4125,Federico II,Scientific Center of Children's Health,1
4126,Federico II,Lovelace Scientific Resources - Albuquerque,1
4127,Federico II,Milestone Clinical,1
4128,Federico II,Synexus Midlands Clinical Research Center,1
4129,Federico II,Professional Skin Care /ID# 218514,1
4130,Federico II,C.H. de Bretagne Sud /ID# 216243,1
4131,Federico II,State Budget Institution of Healthcare of Perm Region 'City Children's Clinical Polyclinic #5',1
4132,Federico II,Pulmonary and Allergy Associates,1
4133,Federico II,Xuzhou Central Hospital,1
4134,Federico II,Melita Medical SP . Z O. O.,1
4135,Federico II,"Szpital Morski im. PCK, Oddział Dziecięcy",1
4136,Federico II,CHU - Hôpital Clémenceau,1
4137,Federico II,Akademicki Szpital Kliniczny im J Mikulicza Radeckiego,1
4138,Federico II,"Federal State Institution 'Federal Centre of Heart, Blood and Endocrinology of Rosmedtechnologies named after V.A. Almazov'",1
4139,Federico II,Ospedaliero di Castelfranco Veneto,1
4140,Federico II,Specialty Eye Care,1
4141,Federico II,Ospedale Pugliese -Ciaccio,1
4142,Federico II,Regenerate Clinical Trials,1
4143,Federico II,Clinical Research Professionals LLC - The Pines Court,1
4144,Federico II,Neurodegenerative Disorders Research,1
4145,Federico II,Clinical Oncology,1
4146,Federico II,SOLB - Zbigniew Zegota,1
4147,Federico II,ETG Siedlce,1
4148,Federico II,Trial Pharma Kft.,1
4149,Federico II,1240062 - Saint Boniface General Hospital,1
4150,Federico II,Internistische Praxisgemeinschaft,1
4151,Federico II,Osaka Habikino Medical Center /ID# 204243,1
4152,Federico II,Belfast Health and Social Care Trust,1
4153,Federico II,U.O. di Ematologia con trapianto - A.U. Policlinico 'Paolo Giaccone',1
4154,Federico II,Regional Hospital Holstebro,1
4155,Federico II,UCL Saint-Luc /ID# 224221,1
4156,Federico II,Eastern Health - General Hospital,1
4157,Federico II,Kaiser Permanente Moanalua Medical Center,1
4158,Federico II,People 's Hospital of Jilin Province,1
4159,Federico II,Ladulaas Kliniska Studier,1
4160,Federico II,Clinical Trial Services Corp,1
4161,Federico II,P.O. Vittorio Emanuele,1
4162,Federico II,Aghia Sofia Children's Hospital,1
4163,Federico II,"St. Vincent Medical Group, Inc.",1
4164,Federico II,East Jefferson General Hospital,1
4165,Federico II,Oizumi Hanawa Clinic,1
4166,Federico II,Urology Associates,1
4167,Federico II,2500082 - Clinique du Pont de Chaume,1
4168,Federico II,"J. Schwartz, MD, PLLC /ID# 202122",1
4169,Federico II,CMS3 Company for Medical Study /ID# 205195,1
4170,Federico II,"Universitetssykehuset N-Norge, Harstad /ID# 201269",1
4171,Federico II,"Palacký University, Olomouc",1
4172,Federico II,Ohio State University Hospital,1
4173,Federico II,Dermatologie Quist - BAG Dres. Quist PartG /ID# 214249,1
4174,Federico II,Banner Good Samaritan Medical Center,1
4175,Federico II,IFS - Interdisziplinäres Facharztzentrum,1
4176,Federico II,UT Physicians Comprehensive Sickle Cell Clinic,1
4177,Federico II,Opca bolnica Dr. Josip Bencevic /ID# 251812,1
4178,Federico II,Madras Diabetes Research Foundation,1
4179,Federico II,UH Erlangen/Nürnberg,1
4180,Federico II,Praxis Dr. Ahmad Haider,1
4181,Federico II,"Abel & Buchheim, P.R., Inc. /ID# 143863",1
4182,Federico II,Englewood Hospital and Medical Center,1
4183,Federico II,Integral Solutions SD SAS,1
4184,Federico II,Jósa András County Hospital,1
4185,Federico II,8400916 - Southeastern Cardiology & Cardiovascular Clinic,1
4186,Federico II,4840007 - Unidad de Prevención y Atención Cardiometabólica (UPAC),1
4187,Federico II,Nemocnica Malacky,1
4188,Federico II,Klinikum Rosenhoehe /ID# 215520,1
4189,Federico II,"Voelkel, Nuremberg, DE /ID# 213671",1
4190,Federico II,Azienda Ospedaliero-Universitaria di Modena,1
4191,Federico II,University of Padua - Azienda Ospedaliera di Padova,1
4192,Federico II,Ulster Hospital,1
4193,Federico II,"CTC Hodonin sro, Cevni ambulance",1
4194,Federico II,Premier Research Inc.,1
4195,Federico II,Sioux Valley Hospital,1
4196,Federico II,Eurokliniki Hospital of Athens,1
4197,Federico II,Azienda Ospedaliera Specialistica Dei Colli,1
4198,Federico II,Policlinico Consorziale,1
4199,Federico II,Istituto Nazionale per lo studio dei Tumori - Fondazione 'Pascale',1
4200,Federico II,"Divisione Ematologia ASST, Grande Ospedale Metropolitano Niguarda",1
4201,Federico II,1240066 - Centre Integre Universitaire de la Mauricie-et-du-Centre-du-Quebec,1
4202,Federico II,5280052 - Ziekenhuis St Jansdal,1
4203,Federico II,Rheum Assoc of Central FL /ID# 201622,1
4204,Federico II,Rheumatology and Pulmonary Clinic /ID# 200446,1
4205,Federico II,Encino Research Center,1
4206,Federico II,Bristol Royal Hospital for Children,1
4207,Federico II,Kiryu Kosei Hospital,1
4208,Federico II,Clinical-functional,1
4209,Federico II,LMC Diabetes & Endocrinology (Canada),1
4210,Federico II,Community Rheumatology Care,1
4211,Federico II,Azienda Ospedaliero Universitaria Policlinico G.Rodolico San Marco,1
4212,Federico II,Instituto de Investigaciones Clínicas Rosario,1
4213,Federico II,Gauhati Medical College and Hospital,1
4214,Federico II,Klinikum Oldenberg,1
4215,Federico II,Morozovsky Pediatric City Hospital,1
4216,Federico II,Klinikum Nord Nürnberg,1
4217,Federico II,Gemeinschaftspraxis fur Urologie,1
4218,Federico II,Pe. Pa.G.N:I Hospital,1
4219,Federico II,UROFOR Bt,1
4220,Federico II,"UROCENTRUM LEVICE, s.r.o.",1
4221,Federico II,PRIVATNA UROLOGICKA AMBULANCIA s.r.o.,1
4222,Federico II,ASL 6 - Fabriano,1
4223,Federico II,Erlanger Institute for Clinical Research /ID# 126151,1
4224,Federico II,Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie - Panstwowy Instytut Badawczy w Warszawie,1
4225,Federico II,Baxalta now part of Shire,1
4226,Federico II,Centre Hospitalier Générale - CTH,1
4227,Federico II,Fondazione Toscana Gabriele Monasterio,1
4228,Federico II,Endocare Research,1
4229,Federico II,Naha-nishi Clinic,1
4230,Federico II,M.A. - LEK A.M.Maciejowscy SC.,1
4231,Federico II,AUSL IRCCS di Reggio Emilia Presidio Osp. Arcispedale Santa Maria Nuova - Unità Ematologia,1
4232,Federico II,Alberta DermaSurgery Centre /ID# 230114,1
4233,Federico II,Clinique D /ID# 212126,1
4234,Federico II,CH William Morey /ID# 225441,1
4235,Federico II,"Telethon Kids Institute, Vaccine Trials Group, Perth Children's Hospital",1
4236,Federico II,Hospital d Instructions des Armees Percy,1
4237,Federico II,Clinisalud del Sur,1
4238,Federico II,Rheumapraxis Dr. Liebhaber,1
4239,Federico II,Jikei University School of Medicine,1
4240,Federico II,"Children's Lung Specialist, Ltd",1
4241,Federico II,Chattanooga Oncology Hematology Associates,1
4242,Federico II,Franciscan Health,1
4243,Federico II,Hemocentro da UNICAMP,1
4244,Federico II,Clinica de Salud de Chaco,1
4245,Federico II,Central City Clinical Hospital Dept of Theraphy No. 2 SHEI Ivano-Frankivsk NMU,1
4246,Federico II,Centrum Medyczne Oporow,1
4247,Federico II,Johns Hopkins Medicine,1
4248,Federico II,Multiprofile Hospital for Active Treatment - MHAT Sveta Marina EAD,1
4249,Federico II,Paracelsus Medical University,1
4250,Federico II,8400369 - HealthEast Saint Joseph's Hospital,1
4251,Federico II,Hospital Universitário Evangélico de Curitiba,1
4252,Federico II,1000057 - Specialized Hospital for Active Treatment in Cardiology EAD,1
4253,Federico II,"Colorado Center for Dermatology, PLLC /ID# 203626",1
4254,Federico II,Sri Ramachandra Institute of Higher Education and Research,1
4255,Federico II,SBIH of Moscow region 'Moscow Regional Scientific & Research,1
4256,Federico II,Nordic Lymphoma Group,1
4257,Federico II,Stauferklinikum Schwaebisch Gmuend /ID# 223948,1
4258,Federico II,Olympion General Clinic SA /ID# 261423,1
4259,Federico II,Clinique Sainte Marguerite,1
4260,Federico II,Bon Secours Liver Institute of Hampton Roads,1
4261,Federico II,Vifor (International) Inc.,1
4262,Federico II,Dr Arvo Rosenthal LLC,1
4263,Federico II,Duplicate_Clinical Research Solutions /ID# 207698,1
4264,Federico II,Hospital Unversitario Marques de Valdecilla /ID# 98581,1
4265,Federico II,Ascension,1
4266,Federico II,Universal Axon Clinical Research,1
4267,Federico II,Municipal Institution 'Zaporizhzhya City Clinical Multidisciplinary Hospital #9',1
4268,Federico II,Ospedale La Colletta-Arenzano ASL3 Genovese,1
4269,Federico II,Centre Chirurgical Marie Lannelongue,1
4270,Federico II,8040035 - Lviv Regional State Clinical-and-Diagnostic Cardiology Cente,1
4271,Federico II,Jilin Central General Hospital,1
4272,Federico II,Allergo-Derm Bakos Kft. /ID# 205361,1
4273,Federico II,Care Access Research - San Jose,1
4274,Federico II,"C2 Research Center, LLC",1
4275,Federico II,Spitalul Pelican,1
4276,Federico II,"Labderm S.C. Beata Bergler-Czop, Barbara Sido-Bergler /Id# 225447",1
4277,Federico II,South Eastern Health and Social Care Trust,1
4278,Federico II,MMCC Kommunarka /ID# 215223,1
4279,Federico II,Sunshine Research Center,1
4280,Federico II,Praxis für Rheumatologie,1
4281,Federico II,University of Lübeck,1
4282,Federico II,Ordination Priv.-Doz. Dr. M. Hubalek,1
4283,Federico II,Kantonsspital Baden,1
4284,Federico II,Rondebosch Oncology Centre,1
4285,Federico II,Synexus Clin Res-Birmingham,1
4286,Federico II,Diakonie-Krankenhaus Schwäbisch Hall,1
4287,Federico II,Royal Belfast Hospital for Sick Children,1
4288,Federico II,St. Joseph Heritage Group /ID# 133721,1
4289,Federico II,"Paradise Clnical Research, LLC /ID# 212027",1
4290,Federico II,Outpatient Clinic 'Valmieras Veselibas Centrs',1
4291,Federico II,Polo Universitario - L'Azienda Ospedaliera Luigi Sacco,1
4292,Federico II,UCL Mont-Godinne,1
4293,Federico II,SCRI Florida Cancer Specialists North,1
4294,Federico II,Policlinico Universitario Campus Biomedico di Roma,1
4295,Federico II,Lviv Clinical Hospital at Railway Transport of Division Healthcare Center PJSC Ukrainian Railway Sta,1
